company_name,industry,headquarters,employee_count,revenue_band,founded,website,technologies,description,primodato_url
Amazon,Internet Services and Retailing,"Seattle, Washington, United States","5,000+",$500M+,Not public,amazon.com,Gated (requires reveal credits),"Amazon is a multinational technology company focusing on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the world's largest online retailers and a prominent provider of cloud infrastructure services",http://primodato.com/companies/amazon-0072
Walmart,General Merchandisers,"Bentonville, Arkansas, United States","5,000+",$500M+,Not public,walmart.com,Gated (requires reveal credits),"Walmart Inc. is a multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores, providing a wide range of products at low prices",http://primodato.com/companies/walmart-1778
Apple,"Computers, Office Equipment","Cupertino, California, United States","5,000+",$500M+,Not public,apple.com,"Computers, Office Equipment | United States HP Computers, Office Equipment | Uni","Apple Inc. is a global technology company that designs, manufactures, and markets consumer electronics, software, and services, including products such as the iPhone, Mac, iPad, and Apple Watch",http://primodato.com/companies/apple-1633
Microsoft,Computer Software,"Redmond, Washington, United States","5,000+",$500M+,Not public,microsoft.com,Gated (requires reveal credits),"Microsoft Corporation is a global technology company that develops, manufactures, licenses, supports, and sells software, consumer electronics, personal computers, and related services",http://primodato.com/companies/microsoft-7125
Alphabet,Internet Services and Retailing,"Mountain View, California, United States","5,000+",$500M+,Not public,abc.xyz,Gated (requires reveal credits),"Alphabet Inc. is the parent company of Google and several other subsidiaries, focusing on technology, innovation, and investment across various sectors including internet services, life sciences, and more",http://primodato.com/companies/alphabet-0047
Meta,Internet Services and Retailing,"Menlo Park, California, United States","5,000+",$500M+,Not public,meta.com,Gated (requires reveal credits),"Meta Platforms, Inc. is a multinational technology company known for products like Facebook, Instagram, and WhatsApp, focusing on social media, virtual reality, and the metaverse",http://primodato.com/companies/meta-7935
Nvidia,Semiconductors and Other Electronic Components,"Santa Clara, California, United States","5,000+",$500M+,Not public,nvidia.com,Gated (requires reveal credits),"Nvidia is a technology company specializing in graphics processing units (GPUs) for gaming, professional visualization, data centers, and automotive markets. They are known for driving advancements in AI, computing, and visual computing technologies",http://primodato.com/companies/nvidia-7145
Chevron,Petroleum Refining,"Houston, Texas, United States","5,000+",$500M+,Not public,chevron.com,Gated (requires reveal credits),"Chevron Corporation is a major American multinational energy corporation involved in every aspect of the oil, natural gas, and geothermal energy industries, including exploration, production, refining, and marketing",http://primodato.com/companies/chevron-0721
Exxon Mobil,Petroleum Refining,"Spring, Texas, United States","5,000+",$500M+,Not public,exxonmobil.com,Gated (requires reveal credits),"Exxon Mobil Corporation is a multinational oil and gas corporation engaged in the exploration, production, refining, and distribution of petroleum products worldwide",http://primodato.com/companies/exxon-mobil-8718
Ford Motor,Motor Vehicles & Parts,"Dearborn, Michigan, United States","5,000+",$500M+,Not public,ford.com,Gated (requires reveal credits),"Ford Motor Company is a global automotive manufacturer headquartered in Dearborn, Michigan, known for producing a wide range of vehicles including cars, trucks, and SUVs, and pioneering innovations in the automotive industry",http://primodato.com/companies/ford-motor-0739
