company_name,fortune_rank,industry,headquarters,employee_count,revenue_band,website,technologies,description,url
Amazon,,,"Internet Services and Retailing Seattle, Washington, United States",,$500M+,amazon.com,,"Fetching & collecting company information Home / Companies / Fortune 500 / Amazon Back to directory Fortune 500 profile Amazon amazon.com Amazon is a multinational technology company focusing on e-commerce, cloud computing, digital streaming, and artificial intelligence. It is one of the world's largest online retailers and a prominent provider of cloud infrastructure services. Internet Services and Retailing Seattle, Washington, United States 5,000+ $500M+ Add to list Reveal Employees 5,000+ Es",http://primodato.com/companies/amazon-0072
Walmart,,,"General Merchandisers Bentonville, Arkansas, United States",,$500M+,walmart.com,,"Fetching & collecting company information Home / Companies / Fortune 500 / Walmart Back to directory Fortune 500 profile Walmart walmart.com Walmart Inc. is a multinational retail corporation that operates a chain of hypermarkets, discount department stores, and grocery stores, providing a wide range of products at low prices. General Merchandisers Bentonville, Arkansas, United States 5,000+ $500M+ Add to list Reveal Employees 5,000+ Est. Revenue $500M+ Founded - Technologies - Company Overview",http://primodato.com/companies/walmart-1778
Apple,,,"Office Equipment Cupertino, California, United States",,$500M+,apple.com,,"Fetching & collecting company information Home / Companies / Fortune 500 / Apple Back to directory Fortune 500 profile Apple apple.com Apple Inc. is a global technology company that designs, manufactures, and markets consumer electronics, software, and services, including products such as the iPhone, Mac, iPad, and Apple Watch. Computers, Office Equipment Cupertino, California, United States 5,000+ $500M+ Add to list Reveal Employees 5,000+ Est. Revenue $500M+ Founded - Technologies - Company Ov",http://primodato.com/companies/apple-1633
Microsoft,,,"Computer Software Redmond, Washington, United States",,$500M+,microsoft.com,"Adobe, Oracle, Salesforce, ServiceNow","Fetching & collecting company information Home / Companies / Fortune 500 / Microsoft Back to directory Fortune 500 profile Microsoft microsoft.com Microsoft Corporation is a global technology company that develops, manufactures, licenses, supports, and sells software, consumer electronics, personal computers, and related services. Computer Software Redmond, Washington, United States 5,000+ $500M+ Add to list Reveal Employees 5,000+ Est. Revenue $500M+ Founded - Technologies - Company Overview Mi",http://primodato.com/companies/microsoft-7125
Alphabet,,,"Internet Services and Retailing Mountain View, California, United States",,$500M+,Booking.com,,"Fetching & collecting company information Home / Companies / Fortune 500 / Alphabet Back to directory Fortune 500 profile Alphabet abc.xyz Alphabet Inc. is the parent company of Google and several other subsidiaries, focusing on technology, innovation, and investment across various sectors including internet services, life sciences, and more. Internet Services and Retailing Mountain View, California, United States 5,000+ $500M+ Add to list Reveal Employees 5,000+ Est. Revenue $500M+ Founded - Te",http://primodato.com/companies/alphabet-0047
Meta,,,"Internet Services and Retailing Menlo Park, California, United States",,$500M+,meta.com,,"Fetching & collecting company information Home / Companies / Fortune 500 / Meta Back to directory Fortune 500 profile Meta meta.com Meta Platforms, Inc. is a multinational technology company known for products like Facebook, Instagram, and WhatsApp, focusing on social media, virtual reality, and the metaverse. Internet Services and Retailing Menlo Park, California, United States 5,000+ $500M+ Add to list Reveal Employees 5,000+ Est. Revenue $500M+ Founded - Technologies - Company Overview Meta P",http://primodato.com/companies/meta-7935
Nvidia,,,"Semiconductors and Other Electronic Components Santa Clara, California, United States",,$500M+,nvidia.com,,"Fetching & collecting company information Home / Companies / Fortune 500 / Nvidia Back to directory Fortune 500 profile Nvidia nvidia.com Nvidia is a technology company specializing in graphics processing units (GPUs) for gaming, professional visualization, data centers, and automotive markets. They are known for driving advancements in AI, computing, and visual computing technologies. Semiconductors and Other Electronic Components Santa Clara, California, United States 5,000+ $500M+ Add to list",http://primodato.com/companies/nvidia-7145
Chevron,,,"Petroleum Refining Houston, Texas, United States",,$500M+,chevron.com,,"Fetching & collecting company information Home / Companies / Fortune 500 / Chevron Back to directory Fortune 500 profile Chevron chevron.com Chevron Corporation is a major American multinational energy corporation involved in every aspect of the oil, natural gas, and geothermal energy industries, including exploration, production, refining, and marketing. Petroleum Refining Houston, Texas, United States 5,000+ $500M+ Add to list Reveal Employees 5,000+ Est. Revenue $500M+ Founded - Technologies",http://primodato.com/companies/chevron-0721
Exxon Mobil,,,"Petroleum Refining Spring, Texas, United States",,$500M+,exxonmobil.com,,"Fetching & collecting company information Home / Companies / Fortune 500 / Exxon Mobil Back to directory Fortune 500 profile Exxon Mobil exxonmobil.com Exxon Mobil Corporation is a multinational oil and gas corporation engaged in the exploration, production, refining, and distribution of petroleum products worldwide. Petroleum Refining Spring, Texas, United States 5,000+ $500M+ Add to list Reveal Employees 5,000+ Est. Revenue $500M+ Founded - Technologies - Company Overview Exxon Mobil Corporati",http://primodato.com/companies/exxon-mobil-8718
Ford Motor,,,"Parts Dearborn, Michigan, United States",,$500M+,ford.com,,"Fetching & collecting company information Home / Companies / Fortune 500 / Ford Motor Back to directory Fortune 500 profile Ford Motor ford.com Ford Motor Company is a global automotive manufacturer headquartered in Dearborn, Michigan, known for producing a wide range of vehicles including cars, trucks, and SUVs, and pioneering innovations in the automotive industry. Motor Vehicles & Parts Dearborn, Michigan, United States 5,000+ $500M+ Add to list Reveal Employees 5,000+ Est. Revenue $500M+ Fou",http://primodato.com/companies/ford-motor-0739
